,0
0,1456271.484572064
1,1454614.1828243707
2,1454496.2792845804
3,1454496.1292845802
4,1454494.7092845803
5,1454490.8192845804
6,1454492.4092845803
7,1454491.3392845804
8,1454490.5992845804
9,1454489.3592845805
10,1454489.6992845803
11,1454488.7392845803
12,1454489.1592845803
13,1454517.5192845804
14,1454516.5692845804
15,1454518.0292845804
16,1454518.7292845803
17,1454522.1692845803
18,1454523.4892845803
19,1454523.0192845804
20,1454525.1992845803
21,1454529.1192845802
22,1454529.6492845803
23,1454532.9592845803
24,1454532.3792845802
25,1454534.1692845803
26,1454533.0292845804
27,1454534.1192845802
28,1454536.4292845803
29,1454539.1492845803
30,1454541.9892845803
31,1454540.9392845803
32,1454538.4992845803
33,1454542.3692845802
34,1454542.1492845803
35,1454544.8892845802
36,1454546.8392845804
37,1454547.6592845803
38,1454548.4892845803
39,1454548.1992845803
40,1454543.9492845803
41,1454544.3892845802
42,1454543.5192845804
43,1454541.6292845802
44,1454539.9492845803
45,1454539.3292845804
46,1454539.2292845803
47,1454539.3892845802
48,1454541.5492845804
49,1454541.4592845803
50,1454536.3792845802
51,1454537.4892845803
52,1454534.2992845804
53,1454534.8892845802
54,1454534.8592845805
55,1454536.2092845803
56,1454536.3592845805
57,1454480.617010647
58,1454816.027965142
59,1455839.190503465
60,1456747.3089742581
61,1458827.5183204354
62,1458406.535958571
