,0
0,-3202.5457399997395
1,459.1526799998246
2,-1330.9602000000887
3,-568.5921400000807
4,-5491.832269999897
5,660.5260799999814
6,-14213.910720000044
7,4690.7481400002725
8,-6469.658790000249
9,-5450.627850000048
10,15343.685619999887
11,-2656.8727699997835
12,9410.461449999828
13,7051.778360000113
14,-3949.1949000000022
15,-1573.053370000096
16,1419.954980000155
17,7543.391600000206
18,-1220.924670000095
19,395.72299999999814
20,-305.85000000032596
21,1892.2140000001527
22,1341.523999999743
23,-715.4240000001155
24,0.0
25,0.0
26,-189.37100000004284
27,-178.35999999986961
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,433.6389999999665
34,1605.026999999769
35,-359.7299999999814
36,-283.18399999989197
37,-1534.0810000000056
38,-2015.4039999996312
39,4281.207999999635
40,3105.09300000011
41,-924.564000000013
42,-2935.2867999998853
43,2469.6107299998403
44,2104.390720000025
45,2826.2964999999385
46,-4504.193829999771
47,6502.915799999842
48,2209.2085299999453
49,113.28124000015669
50,882.8799999998882
51,8432.76000000001
52,-3095.219999999972
53,-3123.2999999998137
54,-1767.619999999879
55,2407.0999999996275
56,-1194.559999999823
57,-5495.5
58,7122.559999999823
59,-10544.119999999646
60,-1353.4799999999814
61,7171.819999999832
