,0
0,1375070.9048284811
1,1366258.68720615
2,1373170.9958250998
3,1374062.1644576588
4,1373169.7264822256
5,1382547.1748311035
6,1380712.714018484
7,1387200.8949518776
8,1384959.5954744788
9,1384897.3754744788
10,1386129.1354744786
11,1388741.8654744788
12,1382645.8254744785
13,1377186.4954744787
14,1376888.3854744786
15,1381172.0854744785
16,1391899.0754744788
17,1390507.1826844788
18,1390964.8986844788
19,1391073.9886844782
20,1390775.939684478
21,1392738.9336844783
22,1391944.3946844784
23,1392404.9806844785
24,1390016.4616844784
25,1383231.2596844784
26,1376499.5567344783
27,1378696.3867344784
28,1384434.4467344785
29,1386338.0167344783
30,1386967.4967344785
31,1374400.0867344784
32,1369164.3067344783
33,1373458.3967344784
34,1387147.2867344783
35,1380093.3767344784
36,1379600.3667344784
37,1380094.0267344783
38,1380508.1067344784
39,1387242.1367344784
40,1386780.5867344784
41,1389310.5567344783
42,1391543.5967344784
43,1385539.9367344785
44,1385489.1267344784
45,1387167.1267344784
46,1386221.2367344785
47,1401517.4567344785
48,1400517.0067344785
49,1404253.1967344785
50,1408344.8667344784
51,1415437.4967344785
52,1421549.6867344785
53,1420019.0867344784
54,1421947.1267344784
55,1417419.6067344784
56,1416459.5967344784
57,1413240.1467344784
58,1410565.9367344785
59,1409595.0867344784
60,1411873.2367344785
61,1410430.8367344784
62,1418904.7067344785
