,0
0,1386090.1930870672
1,1386779.5171913744
2,1389963.9433523943
3,1391288.0933330588
4,1392074.4597162458
5,1391912.5065193074
6,1389568.4269638583
7,1393026.7681717626
8,1393866.4274201328
9,1399134.3203900298
10,1410020.0626101713
11,1400242.1319533014
12,1411859.1270283344
13,1409231.619750249
14,1418406.15430286
15,1413531.6223787968
16,1413883.2797947295
17,1441842.6044738353
18,1442329.3345254755
19,1445355.0717328354
20,1461850.688908368
21,1476594.5008069864
22,1477746.3895383996
23,1460097.8427976056
24,1459197.9276374734
25,1454753.3293223032
26,1474811.378557215
27,1478384.1155069112
28,1473789.9427613604
29,1495884.6279536183
30,1495514.237966439
31,1498309.6816642687
32,1494909.0030322627
33,1509361.93633441
34,1513062.7432413313
35,1514761.3323314756
36,1517160.6179138098
37,1517204.2391762985
38,1524272.399212015
39,1511082.451325183
40,1509041.4939617051
41,1499759.175371692
42,1487428.673733373
43,1487788.7213701983
44,1488961.0379695266
45,1475387.5923458552
46,1485041.3107998795
47,1483901.4498047628
48,1494731.620746389
49,1499543.0194566054
50,1500320.534401166
51,1489890.8570726097
52,1500073.6415907515
53,1472318.2291222217
54,1475631.3106058512
55,1483554.9452504208
56,1479801.8121275904
57,1485230.2822425668
58,1500103.5411562438
59,1517560.2280749045
60,1517272.6669320217
61,1515755.4175810902
62,1515755.4175810902
