,0
0,1135693.2856350092
1,1121679.4513942788
2,1127029.3721205303
3,1129285.1381681154
4,1129978.5594406507
5,1137181.043747685
6,1141099.7081475372
7,1148306.2803437808
8,1150268.864645666
9,1148163.8071425036
10,1156039.4926222817
11,1153973.5751554768
12,1152123.5471051044
13,1152890.6716396504
14,1166483.0935442331
15,1174010.7103525791
16,1172232.7303325075
17,1171060.5056875818
18,1171364.8370449636
19,1171503.1242793205
20,1173389.426065998
21,1172613.0658068396
22,1174295.8328680343
23,1178123.0785546568
24,1177830.3098560974
25,1176479.5319700302
26,1164943.1303341354
27,1169288.387394072
28,1178060.3466523422
29,1177958.4404671923
30,1179371.3151197496
31,1165195.722493292
32,1161315.8244485918
33,1162026.7415991654
34,1173689.5951260817
35,1167621.1774553743
36,1167637.946666037
37,1168042.3690993942
38,1171679.1173933474
39,1174660.7384052721
40,1176005.8434191195
41,1178059.8228627075
42,1180009.1207984986
43,1174414.5275979296
44,1176170.6429732956
45,1181346.7811961044
46,1179739.1468351807
47,1192135.4183084932
48,1192743.807176291
49,1194460.6105205978
50,1196901.342920729
51,1203012.9840756669
52,1207898.0700268233
53,1211827.8543917146
54,1211138.8939450663
55,1206810.5200885981
56,1207644.8963955895
57,1201675.0982565135
58,1202343.5174617213
59,1204036.8491704003
60,1207104.136463949
61,1209292.445448362
62,1212698.3235845773
