,0
0,711.8075478279497
1,5153.510546780424
2,2041.831689392915
3,3989.5353695766535
4,-1089.053909566719
5,-4628.574903119355
6,4007.018407439813
7,738.0969885441009
8,15295.858209626982
9,23969.811557129957
10,-28640.580501717748
11,21429.9640627529
12,-2879.5984613015316
13,18793.75400521164
14,-15202.159619492246
15,5991.623208737932
16,38669.92647978803
17,-26531.450190249132
18,3603.338933936786
19,11984.198506668909
20,18832.808061775053
21,-8165.569256220711
22,-19380.705936122453
23,4.48671662947163
24,1452.2061970473733
25,29185.93165877019
26,5315.822385857813
27,-10443.237427409738
28,33852.97131782654
29,5444.604143058648
30,16034.1189907745
31,-11873.397410665406
32,5677.010071726283
33,10554.247980314074
34,-6464.643078955822
35,-17596.244964084355
36,-19126.328363665147
37,5359.168803793145
38,5650.991777566494
39,-8062.524103109725
40,2463.427544251783
41,-10667.125875390135
42,-893.8831646125764
43,20812.36293304898
44,-3750.1418691636063
45,13317.357220683014
46,-7343.517790722661
47,8767.542671741452
48,4157.287650679704
49,-2027.1215325847734
50,-7572.817739405902
51,22486.25502574141
52,-42961.38522171229
53,-1979.562804096844
54,4998.786115242168
55,-9234.02784688701
56,5190.750784450676
57,17400.04166259989
58,32735.44491373957
59,-181661.88098039618
60,-1566.9671478495002
61,0.0
