,0
0,1225838.830124174
1,1247162.283604649
2,1240935.8987447955
3,1235028.1454970492
4,1231407.6440051459
5,1235621.8620427146
6,1235045.4090349101
7,1230695.4757291933
8,1230493.5227595083
9,1230049.580039019
10,1227379.135857494
11,1220579.3262488213
12,1226473.4429495465
13,1222931.2878459417
14,1220902.2233346433
15,1232567.9072033418
16,1233201.349914122
17,1234361.3275190631
18,1225156.2122197358
19,1213348.68926431
20,1209376.6304649638
21,1206337.8492210289
22,1211993.5503183883
23,1211432.8529092858
24,1214755.1425469827
25,1206731.132745944
26,1213926.1655834247
27,1225616.4056775249
28,1234231.385217384
29,1236060.800209246
30,1241059.7949763527
31,1241121.498392567
32,1246742.8688033305
33,1255562.6315618625
34,1252230.1792034947
35,1258243.9605256033
36,1257615.4502455688
37,1264720.580785224
38,1262387.3182054458
39,1284425.331303431
40,1278609.2823478647
41,1272109.2275238594
42,1270624.7452715687
43,1270921.743617847
44,1260032.8363381121
45,1260824.722651293
46,1257255.2794325822
47,1256771.3856597836
48,1254758.506974017
49,1262681.409074268
50,1261881.0306536872
51,1264321.1471611846
52,1265564.242225143
53,1249363.4249354412
54,1244978.3311476847
55,1247787.117713755
56,1240935.774155819
57,1240127.790685806
58,1249948.9913491888
59,1250662.9537651427
60,1262438.0277964093
61,1248670.2091895803
62,1248056.2958349544
